#,BRAND,PRODUCT NAME,CATEGORY,RETAIL PRICE (ZAR),SA MARKET PRICE (ZAR),SOURCE PRICE (USD),MAX LANDED COST (ZAR),MARGIN TIER,TARGET GM%,PRICING NOTE,SOURCE URL,DESCRIPTION,INGREDIENTS
1,Mediheal,MEDIHEAL Vitamin C Essential Mask - Clear Toning (10 PCs),Sheet Masks,R702.61,—,$17.00,R175.65,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-vitamin-c-essential-mask-clear-toning,"The Skin Boutique Curates: MEDIHEAL Vitamin C Essential Mask - Clear Toning (10 PCs) Revive dull, uneven skin with this brightening mask featuring 99% pure Vitamin C in hyaluronic liposomes for enhanc","Water, Glycerin (Check packaging for full details)"
2,Mediheal,MEDIHEAL Collagen Essential Mask - Core Firming (10 PCs),Sheet Masks,R702.61,—,$17.00,R175.65,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-collagen-essential-mask-core-firming,The Skin Boutique Curates: MEDIHEAL Collagen Essential Mask - Core Firming (10 PCs) MEDIHEAL's Core Firming Collagen Mask delivers concentrated lifting and hydration in one sheet. Powered by three col,"Water, Glycerin (Check packaging for full details)"
3,Mediheal,MEDIHEAL Ceramide Essential Mask - Moisture Barrier (10 PCs),Sheet Masks,R702.61,—,$17.00,R175.65,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-ceramide-essential-mask-moisture-barrier,"The Skin Boutique Curates: MEDIHEAL Ceramide Essential Mask - Moisture Barrier (10 PCs) MEDIHEAL Ceramide Essential Mask harnesses 90% high-purity ceramides—four types (NP, AP, NS, EOP)—to deeply hydr","Water, Glycerin (Check packaging for full details)"
4,numbuzin,numbuzin No.2 Rose PDRN Collagen Plumping Serum Duo (1.2ml x 10),Serum,R785.27,—,$19.00,R196.32,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/numbuzin-no-2-rose-pdrn-collagen-2x-plumping-serum-copy,The Skin Boutique Curates: numbuzin No.2 Rose PDRN Collagen Plumping Serum Duo (1.2ml x 10) Experience the best of K-Beauty with numbuzin No.2 Rose PDRN Collagen Plumping Serum Duo (1.2ml x 10) by num,"Water, Glycerin (Full ingredients list under review)"
5,Dr. Althea,Dr. Althea Marine Anti-Blemish Mask,Sheet Masks,R629.00,R629,$5.00,R157.25,Tier A (Hero),75%,Single product overlap.,https://kiyoko.com/products/dr-althea-marine-anti-blemish-mask,The Skin Boutique Curates: Dr. Althea Marine Anti-Blemish Mask Dr. Althea Marine Anti-Blemish Mask harnesses the power of Crithmum Maritimum Extract and premium Lactobacillus to gently lift away dead ,"Water, Glycerin (Check packaging for full details)"
6,Mediheal,MEDIHEAL Hyaluronate Essential Mask - Ultra Hydration (10 PCs),Sheet Masks,R702.61,—,$17.00,R175.65,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-hyaluronate-essential-mask-ultra-hydration-10-pcs,The Skin Boutique Curates: MEDIHEAL Hyaluronate Essential Mask - Ultra Hydration (10 PCs) Hydrating and cooling with 10 types of hyaluronic acid Authentically sourced and independently curated by The ,"Water, Glycerin (Check packaging for full details)"
7,Mediheal,MEDIHEAL Teatree Essential Mask - Calming Moisture (10 PCs),Sheet Masks,R702.61,—,$17.00,R175.65,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-teatree-essential-mask-calming-moisture-10-pcs,"The Skin Boutique Curates: MEDIHEAL Teatree Essential Mask - Calming Moisture (10 PCs) Calm and soothes sensitive, acne-prone skin. Authentically sourced and independently curated by The Skin Boutique","Water, Glycerin (Check packaging for full details)"
8,Mediheal,MEDIHEAL Madecassoside Essential Mask - Blemish Repair (10 PCs),Sheet Masks,R702.61,—,$17.00,R175.65,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-madecassoside-essential-mask-blemish-repair-10-pcs,The Skin Boutique Curates: MEDIHEAL Madecassoside Essential Mask - Blemish Repair (10 PCs) Soothing sheet mask for active blemishes and post-blemish marks. Authentically sourced and independently cura,"Water, Glycerin (Check packaging for full details)"
9,Dr. Althea,Dr.Althea Aqua Marine Watery Cream (50ml),Cream,R743.94,—,$18.00,R185.99,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/dr-althea-aqua-marine-watery-cream-50ml,"The Skin Boutique Curates: Dr.Althea Aqua Marine Watery Cream (50ml) Lightweight, watery daily moisturizer to soothe and hydrate Authentically sourced and independently curated by The Skin Boutique — ","Water, Glycerin (Check packaging for full details)"
10,Mediheal,MEDIHEAL Retinol Collagen Ampoule Lifting Mask (4 PCs),Sheet Masks,R537.29,—,$13.00,R134.32,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-retinol-collagen-ampoule-lifting-mask-4-pcs,The Skin Boutique Curates: MEDIHEAL Retinol Collagen Ampoule Lifting Mask (4 PCs) Wrinkle relieving firming mask Authentically sourced and independently curated by The Skin Boutique — your trusted des,"Water, Glycerin (Check packaging for full details)"
