Brand,Product Name,SKU / ID,Image Link,Target Sale Price (ZAR)
"Abib","Gummy Sheet Mask Madecassoside Sticker","ABIB-8693776515308","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Abib_Gummy_Sheet_Mask_Madecassoside_Sticker.png?v=1772983005",1615
"Abib","Collagen Eye Patch Jericho Rose Jelly (30 Pairs / 60 pcs)","ABIB-8658393301228","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Abib-Collagen-eye-patch-Jericho-rose-jelly-60ea-90g.png?v=1769993318",580
"Abib","Heartleaf Crème Calming Tube (75ml)","ABIB-8097324761324","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ProductPhotos_3_3029e8f0-bb1f-4e0b-9b82-35f332cea54f.png?v=1700939330",495
"ANUA","Heartleaf Centella Red Spot Cream (30g)","ANUA-8995681272044","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Heartleaf_Centella_Red_Spot_Cream_30g.png?v=1772983941",450
"ANUA","Airy Sun Cream SPF 50+ PA++++ (50ml)","ANUA-8933180276972","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Airy_Sun_Cream_SPF_50_PA_50ml.png?v=1772983546",650
"ANUA","Azelaic Acid 10 Hyaluron Soothing Serum (30ml)","ANUA-8755559891180","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA-43-01_1.webp?v=1766074516",600
"ANUA","ANUA Peach Niacin Serum Mask","ANUA-8716254773484","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Peach_Niacin_Serum_Mask.png?v=1772984285",1615
"ANUA","ANUA Heartleaf 87 Low pH Deep Cleansing Water (500g)","ANUA-8716302516460","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_90_a9406654-4d10-4d2f-b157-240a6edca7c9.png?v=1769082342",550
"ANUA","ANUA Rice 70 Glow Milky Toner (250ml)","ANUA-8585797894380","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0t3j2g04qan5u6o2xp93my_1752359403622.png?v=1752359408",550
"ANUA","ANUA Heartleaf 70% Soothing Cream (100ml)","ANUA-8493012877548","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Heartleaf_70__Soothing_Cream__100m_PNG.png?v=1769695652",595
"ANUA","ANUA Heartleaf Pore Control Cleansing Oil (200ml)","ANUA-7964008579308","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua_3.png?v=1752361023",550
"ANUA","ANUA Peach 70% Niacin Serum (30ml)","ANUA-8140955484396","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0t21in04pwn5u6utqmb6i8_1752359308889.png?v=1752359313",550
"ANUA","ANUA Heartleaf LHA Moisture Peeling Gel (120ml)","ANUA-8141043171564","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/lha_EDITED.png?v=1765403648",450
"ANUA","ANUA Niacinamide 10% + TXA 4% Dark Spot Correcting Serum (30ml)","ANUA-8204922290412","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Anua_Niacinamide_10_TXA_4_Direct_Beauty.png?v=1771503079",580
"ANUA","ANUA Heartleaf 77% Soothing Sheet Mask","ANUA-8148536590572","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua-us-sheet-mask-10ea-heartleaf-77-soothing-sheet-mask-1161173116.png?v=1754147915",1615
"ANUA","ANUA Heartleaf 70% Intense Calming Cream","ANUA-8147284820204","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Anua_70_Intense_Calming_Cream.png?v=1771859847",520
"ANUA","ANUA Peach 77% Niacin Conditioning Milk (150ml)","ANUA-8147248054508","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0t173y04pon5u662lkxjnv_1752359209469.png?v=1752359213",550
"ANUA","ANUA Heartleaf 77% Clear Pad (70pcs)","ANUA-8031572918508","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Heartleaf_77_Clear_Pad.png?v=1754404858",550
"ANUA","ANUA Heartleaf Quercetinol Pore Deep Cleansing Foam (150ml)","ANUA-7969926906092","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua_q_2.png?v=1752372549",350
"ANUA","ANUA Heartleaf 70% Daily Lotion","ANUA-7965277454572","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0szv5b04pcn5u6mes84uos_1752358532920.png?v=1752358537",520
"ANUA","ANUA Heartleaf 77% Soothing Toner","ANUA-7963906769132","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua_2.png?v=1752359036",550
"ANUA","ANUA Heartleaf 80% Soothing Ampoule","ANUA-7965274046700","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0sznet04pan5u6zb1swi30_1752358486345.png?v=1752358526",620
"ANUA","ANUA PDRN Hyaluronic Acid Capsule 100 Serum (30ml)","ANUA-8756130447596","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_PDRN_Hyaluronic_Acid_Capsule_100_Serum_30ml.png?v=1772984035",650
"ANUA","ANUA 7 Rice Ceramide Hydrating Barrier Serum (50ml)","ANUA-8585851076844","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_7_Rice_Ceramide_Hydrating_Barrier_Serum_50ml.png?v=1772983389",650
"ARIUL","Smooth & Pure Foot Mask Special Care Set Tea Tree & Aloe (2 Pairs)","ARIUL-9024611254508","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/AriulTeaTree_Aloe.png?v=1759108697",195
"Ashirira","Ashirira Foot Relax Sheet: Ginger (1 BOX / 30 PCs)","ASHIRIRA-7918044217580","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Ashirira_Foot_Relax_Sheet_Ginger_1_BOX_30_PCs.png?v=1772984959",475
"AXIS-Y","Biome Recharging Night Renewal Set (2pcs)","AXIS-Y-7915099783404","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Biome_Recharging_Night_Renewal_Set.png?v=1767587562",620
